ID,AREA,MCD,COUNTY,MCD_NAME,TYPE,POP2000,SRTSFUNDED,SRTSUNFUND,STIPFUNDED,STIPUNFUND,TTLFUNDED,TTLUNFUND,POINT_X,POINT_Y
2900911.00000000000,34.87000000000,2708945538,27089,New Folden,Township,197.00000000000,0,0,0,1,0,1,-96.30403674170,48.32686950000
2900991.00000000000,36.77000000000,2708945718,27089,New Maine,Township,194.00000000000,0,0,1,0,1,0,-96.32123397260,48.41324641570
2313555.00000000000,5.26000000000,2706544044,27065,Mora,City,3305.00000000000,1,1,0,0,1,1,-93.29123951040,45.87652895470
2319307.00000000000,4.31000000000,2702556266,27025,Rush City,City,2134.00000000000,0,1,0,0,0,1,-92.96569549850,45.68757265260
2341815.00000000000,3.82000000000,2711529294,27115,Hinckley,City,1302.00000000000,1,0,0,0,1,0,-92.92678813410,46.01104533580
2369395.00000000000,4.38000000000,2702564318,27025,Taylors Falls,City,955.00000000000,0,0,1,0,1,0,-92.66376285280,45.41246644520
596772.00000000000,4.20000000000,2701148706,27011,Ortonville,City,2195.00000000000,0,1,0,0,0,1,-96.44382625550,45.30558196480
2706844.00000000000,2.19000000000,2715362446,27153,Staples,City,2486.00000000000,1,0,0,0,1,0,-94.79172106280,46.35797701410
2654639.00000000000,5.28000000000,2715967504,27159,Wadena,City,4245.00000000000,1,0,0,0,1,0,-95.12789224850,46.44523904440
2636634.00000000000,34.97000000000,2711149750,27111,Parkers Prairie,Township,339.00000000000,0,0,1,0,1,0,-95.36629108850,46.15136027890
2636727.00000000000,1.22000000000,2711149732,27111,Parkers Prairie,City,997.00000000000,1,1,0,0,1,1,-95.32958126380,46.15267489770
2637090.00000000000,1.30000000000,2711146060,27111,New York Mills,City,1154.00000000000,1,0,0,0,1,0,-95.37211568020,46.52075063340
2391318.00000000000,2.21000000000,2702703574,27027,Barnesville,City,2173.00000000000,2,0,1,0,3,0,-96.41711614950,46.64914980130
